LED1	2.59V	
455.006	54122.6	0
455.376	52943.41	0
455.745	51922.49	0
456.115	50203.87	0
456.484	49113.85	0
456.854	47393	0
457.223	45796.98	0
457.592	44479.59	0
457.962	43226.85	0
458.331	40906.37	0
458.7	40721.36	0
459.069	37783.43	0
459.438	37139.22	0
459.807	35826.3	0
460.176	34598.07	0
460.545	33071.15	0
460.914	32420.26	0
461.283	30995.88	0
461.652	29319.61	0
462.021	28786.86	0
462.39	27652.25	0
462.759	26733.87	0
463.128	25998.27	0
463.496	24828.01	0
463.865	24377.73	0
464.234	23140.59	0
464.602	22712.61	0
464.971	22398.31	0
465.339	21769.71	0
465.708	20878.07	0
466.076	20204.89	0
466.445	18994.5	0
466.813	19244.16	0
467.181	18698.03	0
467.55	17871.04	0
467.918	17316	0
468.286	16870.19	0
468.654	16272.79	0
469.023	15911.68	0
469.391	15314.29	0
469.759	14814.97	0
470.127	14300.05	0
470.495	14057.08	0
470.863	13439.63	0
471.231	13230.09	0
471.599	12677.28	0
471.966	12291.65	0
472.334	11707.63	0
472.702	11649.68	0
473.07	11261.82	0
473.437	10519.53	0
473.805	10191.86	0
474.173	10000.16	0
474.54	9766.1	0
474.908	9253.41	0
475.275	8950.26	0
475.643	8658.25	0
476.01	8555.71	0
476.378	8134.41	0
476.745	7860.24	0
477.112	7659.62	0
477.48	7354.24	0
477.847	7204.89	0
478.214	6944.08	0
478.581	6647.62	0
478.949	6562.91	0
479.316	6290.96	0
479.683	5981.12	0
480.05	5894.19	0
480.417	5758.21	0
480.784	5642.3	0
481.151	5506.33	0
481.517	5377.04	0
481.884	5325.77	0
482.251	4975.81	0
482.618	4879.96	0
482.985	4723.92	0
483.351	4632.53	0
483.718	4556.74	0
484.085	4380.64	0
484.451	4311.54	0
484.818	4146.59	0
485.184	4061.88	0
485.551	3903.62	0
485.917	3856.81	0
486.283	3774.33	0
486.65	3774.33	0
487.016	3442.2	0
487.382	3375.32	0
487.749	3330.74	0
488.115	3136.81	0
488.481	3078.86	0
488.847	3000.84	0
489.213	2833.66	0
489.579	2789.08	0
489.945	2784.62	0
490.311	2617.44	0
490.677	2432.42	0
491.043	2539.42	0
491.409	2338.8	0
491.775	2283.07	0
492.14	2093.6	0
492.506	2133.73	0
492.872	2229.58	0
493.238	2035.65	0
493.603	1988.84	0
493.969	1915.28	0
494.334	1899.67	0
494.7	1864.01	0
495.065	1725.8	0
495.431	1761.47	0
495.796	1703.51	0
496.161	1741.41	0
496.527	1612.12	0
496.892	1585.37	0
497.257	1520.73	0
497.622	1458.31	0
497.988	1337.94	0
498.353	1433.79	0
498.718	1369.15	0
499.083	1326.8	0
499.448	1255.47	0
499.813	1204.2	0
500.178	1259.93	0
500.543	1188.6	0
510.38	653.62	0
510.744	624.64	0
520.552	312.57	0
530.694	263.53	0
540.444	274.67	0
550.525	198.88	0
550.884	174.36	0
560.575	85.2	0
560.933	13.87	0
570.593	85.2	0
580.223	107.49	0
590.533	147.61	0
590.888	51.76	0
591.243	67.37	0
591.598	125.32	0
600.101	53.99	0
600.455	125.32	0
600.809	82.97	0
601.163	87.43	0
601.516	65.14	0
601.87	78.51	0
602.223	98.57	0
602.577	140.93	0
602.93	78.51	0
603.284	71.83	0
603.637	76.28	0
603.991	103.03	0
604.344	49.54	0
604.697	49.54	0
605.051	89.66	0
605.404	36.16	0
605.757	100.8	0
606.11	51.76	0
606.463	91.89	0
606.816	181.05	0
607.169	67.37	0
607.522	136.47	0
607.875	134.24	0
608.228	105.26	0
608.581	125.32	0
608.934	158.76	0
609.287	140.93	0
609.639	96.35	0
609.992	132.01	0
610.345	147.61	0
610.697	125.32	0
611.05	160.99	0
611.402	189.97	0
611.755	147.61	0
612.107	167.68	0
612.459	205.57	0
612.812	156.53	0
613.164	140.93	0
613.516	223.4	0
613.869	118.64	0
614.221	140.93	0
614.573	152.07	0
614.925	174.36	0
615.277	98.57	0
615.629	125.32	0
615.981	116.41	0
616.333	172.13	0
616.685	74.06	0
617.037	123.09	0
617.388	118.64	0
617.74	78.51	0
618.092	94.12	0
618.444	116.41	0
618.795	27.24	0
619.147	65.14	0
619.498	47.31	0
619.85	18.33	0
620.201	69.6	0
620.553	51.76	0
620.904	149.84	0
621.255	58.45	0
621.607	60.68	0
630.375	138.7	0
630.726	96.35	0
640.514	103.03	0
640.863	53.99	0
650.269	87.43	0
650.616	89.66	0
650.964	96.35	0
651.312	109.72	0
651.659	218.95	0
652.007	80.74	0
652.355	16.1	0
652.702	27.24	0
653.05	20.56	0
653.397	65.14	0
653.744	49.54	0
654.092	89.66	0
654.439	29.47	0
654.786	-17.34	0
655.133	7.18	0
655.481	58.45	0
655.828	22.79	0
656.175	65.14	0
656.522	107.49	0
656.869	-8.42	0
657.216	27.24	0
657.563	38.39	0
657.909	67.37	0
658.256	13.87	0
658.603	45.08	0
658.95	42.85	0
659.296	80.74	0
659.643	76.28	0
659.99	13.87	0
660.336	51.76	0
660.683	87.43	0
661.029	96.35	0
661.376	74.06	0
661.722	103.03	0
662.068	62.91	0
662.415	65.14	0
662.761	94.12	0
663.107	40.62	0
663.453	74.06	0
663.799	94.12	0
664.146	82.97	0
664.492	80.74	0
664.838	100.8	0
665.183	56.22	0
665.529	40.62	0
665.875	49.54	0
666.221	56.22	0
666.567	33.93	0
666.913	71.83	0
667.258	96.35	0
667.604	103.03	0
667.95	105.26	0
668.295	58.45	0
668.641	33.93	0
668.986	65.14	0
669.331	53.99	0
669.677	31.7	0
670.022	51.76	0
670.367	58.45	0
670.713	9.41	0
671.058	9.41	0
671.403	56.22	0
671.748	18.33	0
672.093	42.85	0
672.438	78.51	0
672.783	4.95	0
673.128	31.7	0
673.473	2.72	0
673.818	154.3	0
674.163	51.76	0
674.508	9.41	0
674.852	47.31	0
675.197	74.06	0
675.542	82.97	0
675.886	89.66	0
676.231	16.1	0
676.575	31.7	0
676.92	18.33	0
