phosphor		
wavelength	intensity	not used
472.702	507.24	0
473.07	489.41	0
473.437	444.83	0
473.805	554.05	0
474.173	616.46	0
474.54	574.11	0
474.908	669.96	0
475.275	696.71	0
475.643	743.52	0
476.01	790.33	0
476.378	846.06	0
476.745	986.49	0
477.112	979.81	0
477.48	1106.86	0
477.847	1258.44	0
478.214	1289.65	0
478.581	1523.7	0
478.949	1612.86	0
479.316	1695.34	0
479.683	1773.36	0
480.05	2011.87	0
480.417	2237.01	0
480.784	2446.54	0
481.151	2520.1	0
481.517	2640.47	0
481.884	2923.56	0
482.251	3144.24	0
482.618	3393.9	0
482.985	3603.43	0
483.351	3790.68	0
483.718	4069.31	0
484.085	4261.01	0
484.451	4586.46	0
484.818	5083.54	0
485.184	5464.72	0
485.551	5758.96	0
485.917	6256.04	0
486.283	6311.77	0
486.65	6811.08	0
487.016	7103.09	0
487.382	7185.57	0
487.749	7747.3	0
488.115	8342.46	0
488.481	8612.18	0
488.847	8955.46	0
489.213	9227.41	0
489.579	9784.68	0
489.945	10270.62	0
490.311	10471.23	0
490.677	10580.46	0
491.043	11113.21	0
491.409	11489.93	0
491.775	11799.77	0
492.14	12201	0
492.506	12323.6	0
492.872	12958.89	0
493.238	13293.25	0
493.603	13607.55	0
493.969	13997.64	0
494.334	14193.8	0
494.7	14871.44	0
495.065	15045.31	0
495.431	15138.93	0
495.796	15303.88	0
496.161	15950.32	0
496.527	16084.06	0
496.892	16349.32	0
497.257	16864.24	0
497.622	17238.73	0
497.988	17446.03	0
498.353	17619.9	0
498.718	18016.68	0
499.083	18353.27	0
499.448	18478.1	0
499.813	19247.13	0
500.178	19084.41	0
500.543	19755.36	0
500.908	19840.06	0
501.272	20314.86	0
501.637	20308.17	0
502.002	20820.86	0
502.367	21059.37	0
502.731	21280.05	0
503.096	21674.6	0
503.46	21971.07	0
503.825	22508.28	0
504.19	22630.88	0
504.554	23172.54	0
504.918	23214.89	0
505.283	23569.32	0
505.647	23885.85	0
506.011	24273.71	0
506.376	24953.58	0
506.74	25236.67	0
507.104	25426.14	0
507.468	25847.44	0
507.832	26277.65	0
508.197	27233.93	0
508.561	27082.35	0
508.925	27695.35	0
509.289	27994.05	0
509.653	28283.83	0
510.016	28707.35	0
510.38	29195.52	0
510.744	29681.46	0
511.108	30495.08	0
511.472	30441.58	0
511.835	31692.09	0
512.199	31892.71	0
512.563	32403.17	0
512.926	32737.53	0
513.29	33354.99	0
513.653	34126.25	0
514.017	34708.04	0
514.38	35775.77	0
514.744	36036.57	0
515.107	36865.79	0
515.47	37318.29	0
515.833	37730.67	0
516.197	38903.17	0
516.56	39012.4	0
516.923	39823.78	0
517.286	40802.35	0
517.649	41085.44	0
518.012	41972.62	0
518.375	43593.16	0
518.738	43724.67	0
519.101	44571.73	0
519.464	45142.37	0
519.827	46078.58	0
520.19	46486.51	0
520.552	47400.43	0
520.915	47772.69	0
521.278	48697.76	0
521.641	49263.94	0
522.003	49647.34	0
522.366	50730.68	0
522.728	51036.06	0
523.091	51176.49	0
523.453	52353.45	0
523.816	52574.13	0
524.178	53100.19	0
524.54	53332.02	0
524.903	54020.8	0
525.265	54544.64	0
525.627	54457.7	0
525.989	54990.45	0
526.351	55173.24	0
526.713	55908.83	0
527.076	56131.74	0
527.438	56704.62	0
527.8	56820.53	0
528.162	57023.38	0
528.523	57524.92	0
528.885	57594.02	0
529.247	57955.13	0
529.609	58055.44	0
529.971	58427.7	0
530.332	58532.46	0
530.694	58713.02	0
531.056	58864.6	0
531.417	59194.5	0
531.779	59404.03	0
532.14	59437.47	0
532.502	59849.85	0
532.863	59829.79	0
533.225	59809.73	0
533.586	60041.55	0
533.947	60380.37	0
534.309	60465.08	0
534.67	60794.98	0
535.031	60687.99	0
535.392	60819.5	0
535.753	61153.86	0
536.114	61169.47	0
536.475	61249.71	0
536.836	61278.69	0
537.197	61592.99	0
537.558	61441.42	0
537.919	61557.33	0
538.28	61764.63	0
538.641	61960.79	0
539.002	62119.06	0
539.362	61942.96	0
539.723	62123.51	0
540.084	62272.86	0
540.444	62052.18	0
540.805	62471.25	0
541.165	62366.48	0
541.526	62341.96	0
541.886	62564.87	0
542.247	62495.77	0
542.607	62654.04	0
542.967	62816.76	0
543.328	62825.68	0
543.688	62687.47	0
544.048	62914.84	0
544.408	62972.79	0
544.768	62934.9	0
545.128	62970.57	0
