al2o3		
WL (nm)	n	k
1006	1.58268	0
1008	1.58265	0
1010	1.58263	0
1012	1.58261	0
1014	1.58258	0
1016	1.58256	0
1018	1.58254	0
1020	1.58251	0
1022	1.58249	0
1024	1.58247	0
1026	1.58244	0
1028	1.58242	0
1030	1.5824	0
1032	1.58238	0
1034	1.58235	0
1036	1.58233	0
1038	1.58231	0
1040	1.58229	0
1042	1.58226	0
1044	1.58224	0
1046	1.58222	0
1048	1.5822	0
1050	1.58217	0
1052	1.58215	0
1054	1.58213	0
1056	1.58211	0
1058	1.58209	0
1060	1.58206	0
1062	1.58204	0
1064	1.58202	0
1066	1.582	0
1068	1.58198	0
1070	1.58196	0
1072	1.58194	0
1074	1.58191	0
1076	1.58189	0
1078	1.58187	0
1080	1.58185	0
1082	1.58183	0
1084	1.58181	0
1086	1.58179	0
1088	1.58177	0
1090	1.58175	0
1092	1.58172	0
1094	1.5817	0
1096	1.58168	0
1098	1.58166	0
1100	1.58164	0
1102	1.58162	0
1104	1.5816	0
1106	1.58158	0
1108	1.58156	0
1110	1.58154	0
1112	1.58152	0
1114	1.5815	0
1116	1.58148	0
1118	1.58146	0
1120	1.58144	0
1122	1.58142	0
1124	1.5814	0
1126	1.58138	0
1128	1.58136	0
1130	1.58134	0
1132	1.58132	0
1134	1.5813	0
1136	1.58128	0
1138	1.58126	0
1140	1.58124	0
1142	1.58122	0
1144	1.5812	0
1146	1.58118	0
1148	1.58116	0
1150	1.58114	0
1152	1.58112	0
1154	1.5811	0
1156	1.58108	0
1158	1.58106	0
1160	1.58104	0
1162	1.58103	0
1164	1.58101	0
1166	1.58099	0
1168	1.58097	0
1170	1.58095	0
1172	1.58093	0
1174	1.58091	0
1176	1.58089	0
1178	1.58087	0
1180	1.58085	0
1182	1.58084	0
1184	1.58082	0
1186	1.5808	0
1188	1.58078	0
1190	1.58076	0
1192	1.58074	0
1194	1.58072	0
1196	1.5807	0
1198	1.58069	0
1200	1.58067	0
1202	1.58065	0
1204	1.58063	0
1206	1.58061	0
1208	1.58059	0
1210	1.58058	0
1212	1.58056	0
1214	1.58054	0
1216	1.58052	0
1218	1.5805	0
1220	1.58048	0
1222	1.58047	0
1224	1.58045	0
1226	1.58043	0
1228	1.58041	0
1230	1.58039	0
1232	1.58037	0
1234	1.58036	0
1236	1.58034	0
1238	1.58032	0
1240	1.5803	0
1242	1.58028	0
1244	1.58027	0
1246	1.58025	0
1248	1.58023	0
1250	1.58021	0
1252	1.5802	0
1254	1.58018	0
1256	1.58016	0
1258	1.58014	0
1260	1.58013	0
1262	1.58011	0
1264	1.58009	0
1266	1.58007	0
1268	1.58005	0
1270	1.58004	0
1272	1.58002	0
1274	1.58	0
1276	1.57998	0
1278	1.57997	0
1280	1.57995	0
1282	1.57993	0
1284	1.57991	0
1286	1.5799	0
1288	1.57988	0
1290	1.57986	0
1292	1.57984	0
1294	1.57983	0
1296	1.57981	0
1298	1.57979	0
1300	1.57978	0
1302	1.57976	0
1304	1.57974	0
1306	1.57972	0
1308	1.57971	0
1310	1.57969	0
1312	1.57967	0
1314	1.57965	0
1316	1.57964	0
1318	1.57962	0
1320	1.5796	0
1322	1.57959	0
1324	1.57957	0
1326	1.57955	0
1328	1.57954	0
1330	1.57952	0
1332	1.5795	0
1334	1.57948	0
1336	1.57947	0
1338	1.57945	0
1340	1.57943	0
1342	1.57942	0
1344	1.5794	0
1346	1.57938	0
1348	1.57937	0
1350	1.57935	0
1352	1.57933	0
1354	1.57932	0
1356	1.5793	0
1358	1.57928	0
1360	1.57926	0
1362	1.57925	0
1364	1.57923	0
1366	1.57921	0
1368	1.5792	0
1370	1.57918	0
1372	1.57916	0
1374	1.57915	0
1376	1.57913	0
1378	1.57911	0
1380	1.5791	0
1382	1.57908	0
1384	1.57906	0
1386	1.57905	0
1388	1.57903	0
1390	1.57901	0
1392	1.579	0
1394	1.57898	0
1396	1.57896	0
1398	1.57895	0
1400	1.57893	0
1402	1.57891	0
1404	1.5789	0
1406	1.57888	0
1408	1.57886	0
1410	1.57885	0
1412	1.57883	0
1414	1.57882	0
1416	1.5788	0
1418	1.57878	0
1420	1.57877	0
1422	1.57875	0
1424	1.57873	0
1426	1.57872	0
1428	1.5787	0
1430	1.57868	0
1432	1.57867	0
1434	1.57865	0
1436	1.57863	0
1438	1.57862	0
1440	1.5786	0
1442	1.57858	0
1444	1.57857	0
1446	1.57855	0
1448	1.57854	0
1450	1.57852	0
1452	1.5785	0
1454	1.57849	0
1456	1.57847	0
1458	1.57845	0
1460	1.57844	0
1462	1.57842	0
1464	1.5784	0
1466	1.57839	0
1468	1.57837	0
1470	1.57836	0
1472	1.57834	0
1474	1.57832	0
1476	1.57831	0
1478	1.57829	0
1480	1.57827	0
1482	1.57826	0
1484	1.57824	0
1486	1.57823	0
1488	1.57821	0
1490	1.57819	0
1492	1.57818	0
1494	1.57816	0
1496	1.57814	0
1498	1.57813	0
1500	1.57811	0
1502	1.5781	0
1504	1.57808	0
1506	1.57806	0
1508	1.57805	0
1510	1.57803	0
1512	1.57801	0
1514	1.578	0
1516	1.57798	0
1518	1.57797	0
1520	1.57795	0
1522	1.57793	0
1524	1.57792	0
1526	1.5779	0
1528	1.57789	0
1530	1.57787	0
1532	1.57785	0
1534	1.57784	0
1536	1.57782	0
1538	1.5778	0
1540	1.57779	0
1542	1.57777	0
1544	1.57776	0
1546	1.57774	0
1548	1.57772	0
1550	1.57771	0
1552	1.57769	0
1554	1.57767	0
1556	1.57766	0
1558	1.57764	0
1560	1.57763	0
1562	1.57761	0
1564	1.57759	0
1566	1.57758	0
1568	1.57756	0
1570	1.57754	0
1572	1.57753	0
1574	1.57751	0
1576	1.5775	0
1578	1.57748	0
1580	1.57746	0
1582	1.57745	0
1584	1.57743	0
