Wavelength (nm)	%R-0бу	%R-30бу	%R-60бу
626	0.971120994	1.977696695	13.32268964
628	1.016166033	2.056572509	13.45536651
630	1.056947833	2.138775246	13.63065338
632	1.103568177	2.213802062	13.78361073
634	1.157077607	2.299585035	13.92898328
636	1.202039337	2.382649895	14.10263507
638	1.251125579	2.461268303	14.29296715
640	1.302472611	2.53768993	14.42916511
642	1.365954371	2.637356371	14.58693229
644	1.416940659	2.71712388	14.73123033
646	1.476885543	2.79955636	14.83152441
648	1.556240114	2.912008927	15.02233244
650	1.58604198	2.980533295	15.13933862
652	1.644837895	3.077629742	15.30463002
654	1.718151546	3.169672191	15.45825753
656	1.787649026	3.264220824	15.56462131
658	1.848147364	3.360107184	15.71216579
660	1.915978409	3.463104205	15.87243107
662	1.974791983	3.559395249	15.98729223
664	2.042322566	3.642131016	16.10386009
666	2.115738176	3.749233821	16.23534872
668	2.188356294	3.848188233	16.38416015
670	2.251749674	3.928953802	16.51475066
672	2.317092617	4.042708996	16.62438099
674	2.403043065	4.13799672	16.74676345
676	2.491254099	4.253236479	16.85705061
678	2.57305741	4.342918654	16.9552766
680	2.633089519	4.445812289	17.09339399
682	2.708870419	4.53967319	17.20162402
684	2.792895971	4.624635885	17.30457753
686	2.87055836	4.733889446	17.38890233
688	2.921781445	4.875134417	17.48976079
690	3.037657417	4.950332351	17.60162149
692	3.09434091	5.042519529	17.72460578
694	3.183639535	5.144375949	17.78330852
696	3.267011613	5.244158603	17.86578453
698	3.345436859	5.349040343	17.968802
700	3.413260892	5.436436478	18.03606251
702	3.5140566	5.544211797	18.11702724
704	3.61611473	5.654408248	18.24696549
706	3.682499666	5.751056697	18.25707412
708	3.748550338	5.829007326	18.34889594
710	3.844269727	5.956850492	18.46430242
712	3.910322307	6.040578445	18.52047513
714	4.01391802	6.118721533	18.57256074
716	4.087182595	6.256993029	18.6623369
718	4.166063348	6.298917281	18.70167957
720	4.226285366	6.435197157	18.77606268
722	4.317044996	6.483248227	18.86964613
724	4.431463217	6.58097862	18.8657556
726	4.539551195	6.684524236	18.95192139
728	4.600386744	6.785621857	19.01211988
730	4.678231943	6.873137097	19.02367734
732	4.75035309	6.941508394	19.0982426
734	4.831408789	7.03877531	19.1847684
736	4.928364394	7.130819751	19.21075711
738	4.967838193	7.19058949	19.26805844
740	5.081678786	7.300774683	19.28481981
742	5.147196347	7.36821223	19.33284938
744	5.235680987	7.472152528	19.38584793
746	5.318579387	7.482995088	19.41648394
748	5.403655298	7.625489201	19.3934941
750	5.476060668	7.657306092	19.47759145
752	5.5524268	7.776836479	19.47727351
754	5.625400021	7.891735274	19.44328963
756	5.71428588	7.884827256	19.49582328
758	5.75483755	8.021918804	19.55872167
760	5.844162743	8.040200325	19.5979462
762	5.96910583	8.087860907	19.53639178
