wl (nm)	n	k
598	2.143577	0.000002
600	2.143086	0.000002
602	2.142601	0.000001
604	2.142121	0.000001
606	2.141646	0.000001
608	2.141177	0.000001
610	2.140712	0.000001
612	2.140253	0
614	2.139799	0
616	2.13935	0
618	2.138906	0
620	2.138466	0
622	2.138032	0
624	2.137602	0
626	2.137176	0
628	2.136755	0
630	2.136339	0
632	2.135927	0
634	2.13552	0
636	2.135116	0
638	2.134717	0
640	2.134322	0
642	2.133931	0
644	2.133545	0
646	2.133162	0
648	2.132783	0
650	2.132408	0
652	2.132037	0
654	2.131669	0
656	2.131306	0
658	2.130946	0
660	2.130589	0
662	2.130236	0
664	2.129887	0
666	2.129541	0
668	2.129199	0
670	2.12886	0
672	2.128524	0
674	2.128191	0
676	2.127862	0
678	2.127536	0
680	2.127213	0
682	2.126893	0
684	2.126577	0
686	2.126263	0
688	2.125952	0
690	2.125645	0
692	2.12534	0
694	2.125038	0
696	2.124739	0
698	2.124443	0
700	2.124149	0
702	2.123858	0
704	2.12357	0
706	2.123285	0
708	2.123002	0
710	2.122722	0
712	2.122444	0
714	2.122169	0
716	2.121897	0
718	2.121626	0
720	2.121359	0
722	2.121093	0
724	2.120831	0
726	2.12057	0
728	2.120312	0
730	2.120056	0
732	2.119802	0
734	2.119551	0
736	2.119302	0
738	2.119055	0
740	2.11881	0
742	2.118567	0
744	2.118327	0
746	2.118088	0
748	2.117852	0
750	2.117617	0
752	2.117385	0
754	2.117155	0
756	2.116926	0
758	2.1167	0
760	2.116475	0
762	2.116253	0
764	2.116032	0
766	2.115813	0
768	2.115596	0
770	2.115381	0
772	2.115167	0
774	2.114955	0
776	2.114746	0
778	2.114537	0
780	2.114331	0
782	2.114126	0
784	2.113923	0
786	2.113722	0
788	2.113522	0
790	2.113324	0
792	2.113127	0
794	2.112932	0
796	2.112739	0
798	2.112547	0
800	2.112356	0
802	2.112168	0
804	2.11198	0
806	2.111794	0
808	2.11161	0
810	2.111427	0
812	2.111246	0
814	2.111066	0
816	2.110887	0
818	2.11071	0
820	2.110534	0
822	2.110359	0
824	2.110186	0
826	2.110015	0
828	2.109844	0
830	2.109675	0
832	2.109507	0
834	2.10934	0
836	2.109175	0
838	2.109011	0
840	2.108848	0
842	2.108687	0
844	2.108526	0
846	2.108367	0
848	2.108209	0
850	2.108052	0
852	2.107897	0
854	2.107742	0
856	2.107589	0
858	2.107437	0
860	2.107286	0
862	2.107136	0
864	2.106987	0
866	2.106839	0
868	2.106692	0
870	2.106547	0
872	2.106402	0
874	2.106259	0
876	2.106116	0
878	2.105975	0
880	2.105834	0
882	2.105695	0
884	2.105557	0
886	2.105419	0
888	2.105283	0
890	2.105147	0
892	2.105013	0
894	2.104879	0
896	2.104747	0
898	2.104615	0
900	2.104484	0
902	2.104354	0
904	2.104225	0
906	2.104097	0
908	2.10397	0
910	2.103844	0
912	2.103718	0
914	2.103594	0
916	2.10347	0
918	2.103347	0
920	2.103225	0
922	2.103104	0
