wl	n	k
727.54034	2.33121	0
729.13165	2.33058	0
730.7229	2.32996	0
732.3141	2.32934	0
733.9052	2.32873	0
735.4963	2.32813	0
737.0873	2.32753	0
738.67816	2.32694	0
740.269	2.32635	0
741.85974	2.32577	0
743.4505	2.32519	0
745.04114	2.32462	0
746.6317	2.32405	0
748.22217	2.32349	0
749.8126	2.32294	0
751.40295	2.32239	0
752.9932	2.32184	0
754.5834	2.3213	0
756.1735	2.32077	0
757.76355	2.32024	0
759.3536	2.31971	0
760.9435	2.31919	0
762.53326	2.31867	0
764.123	2.31816	0
765.7127	2.31766	0
767.3023	2.31715	0
768.8918	2.31665	0
770.48126	2.31616	0
772.0706	2.31567	0
773.6599	2.31519	0
775.24915	2.31471	0
776.83826	2.31423	0
778.4273	2.31376	0
780.0163	2.31329	0
781.60516	2.31283	0
783.194	2.31236	0
784.7828	2.31191	0
786.3714	2.31146	0
787.95996	2.31101	0
789.54846	2.31056	0
791.13684	2.31012	0
792.7252	2.30969	0
794.3135	2.30925	0
795.9016	2.30882	0
797.4897	2.3084	0
799.0777	2.30797	0
800.66565	2.30755	0
802.2534	2.30714	0
803.8412	2.30673	0
805.42883	2.30632	0
807.0164	2.30591	0
808.6039	2.30551	0
