TiO2		
Wavelength(nm)	n	k
453	2.65996	0.000147242
454	2.65793	0.000123979
455	2.65594	0.000102825
456	2.65396	8.37E-05
457	2.65201	6.67E-05
458	2.65008	5.17E-05
459	2.64818	3.86E-05
460	2.64629	2.75E-05
461	2.64443	1.84E-05
462	2.64259	1.11E-05
463	2.64078	5.63E-06
464	2.63898	2.03E-06
465	2.6372	2.30E-07
466	2.63545	0
467	2.63372	0
468	2.632	0
469	2.63031	0
470	2.62864	0
471	2.62698	0
472	2.62535	0
473	2.62373	0
474	2.62213	0
475	2.62054	0
476	2.61898	0
477	2.61743	0
478	2.61589	0
479	2.61438	0
480	2.61287	0
481	2.61139	0
482	2.60992	0
483	2.60846	0
484	2.60702	0
485	2.60559	0
486	2.60418	0
487	2.60278	0
488	2.6014	0
489	2.60003	0
490	2.59867	0
491	2.59733	0
492	2.59599	0
493	2.59468	0
494	2.59337	0
495	2.59208	0
496	2.5908	0
497	2.58953	0
498	2.58827	0
499	2.58703	0
500	2.58579	0
501	2.58457	0
502	2.58336	0
503	2.58216	0
504	2.58097	0
505	2.57979	0
506	2.57863	0
507	2.57747	0
508	2.57632	0
509	2.57519	0
510	2.57406	0
511	2.57295	0
512	2.57184	0
513	2.57074	0
514	2.56966	0
515	2.56858	0
516	2.56751	0
517	2.56645	0
518	2.5654	0
519	2.56436	0
520	2.56333	0
521	2.5623	0
522	2.56129	0
523	2.56028	0
524	2.55928	0
525	2.5583	0
526	2.55731	0
527	2.55634	0
528	2.55538	0
529	2.55442	0
530	2.55347	0
531	2.55253	0
532	2.55159	0
533	2.55067	0
534	2.54975	0
535	2.54883	0
536	2.54793	0
537	2.54703	0
538	2.54614	0
539	2.54526	0
540	2.54438	0
541	2.54351	0
542	2.54265	0
543	2.54179	0
544	2.54095	0
545	2.5401	0
546	2.53927	0
547	2.53844	0
548	2.53761	0
549	2.5368	0
550	2.53598	0
551	2.53518	0
552	2.53438	0
553	2.53359	0
554	2.5328	0
555	2.53202	0
556	2.53124	0
557	2.53047	0
558	2.52971	0
559	2.52895	0
560	2.5282	0
561	2.52745	0
562	2.52671	0
563	2.52597	0
564	2.52524	0
565	2.52452	0
566	2.5238	0
567	2.52308	0
568	2.52237	0
569	2.52167	0
570	2.52097	0
571	2.52027	0
572	2.51958	0
573	2.51889	0
574	2.51821	0
575	2.51754	0
576	2.51687	0
577	2.5162	0
578	2.51554	0
579	2.51488	0
580	2.51423	0
581	2.51358	0
582	2.51293	0
583	2.51229	0
584	2.51166	0
585	2.51103	0
586	2.5104	0
587	2.50978	0
588	2.50916	0
589	2.50855	0
590	2.50794	0
591	2.50733	0
592	2.50673	0
593	2.50613	0
594	2.50554	0
595	2.50495	0
596	2.50436	0
597	2.50378	0
598	2.5032	0
599	2.50262	0
600	2.50205	0
601	2.50148	0
602	2.50092	0
603	2.50036	0
604	2.4998	0
605	2.49925	0
606	2.4987	0
607	2.49816	0
608	2.49761	0
609	2.49707	0
610	2.49654	0
611	2.49601	0
612	2.49548	0
613	2.49495	0
614	2.49443	0
615	2.49391	0
616	2.49339	0
617	2.49288	0
618	2.49237	0
619	2.49186	0
620	2.49136	0
621	2.49086	0
622	2.49036	0
623	2.48987	0
624	2.48938	0
625	2.48889	0
626	2.4884	0
627	2.48792	0
628	2.48744	0
629	2.48697	0
630	2.48649	0
631	2.48602	0
632	2.48555	0
633	2.48509	0
634	2.48463	0
635	2.48417	0
636	2.48371	0
637	2.48326	0
638	2.4828	0
639	2.48236	0
640	2.48191	0
641	2.48147	0
642	2.48102	0
643	2.48059	0
644	2.48015	0
645	2.47972	0
646	2.47928	0
647	2.47886	0
648	2.47843	0
649	2.47801	0
650	2.47759	0
651	2.47717	0
652	2.47675	0
653	2.47634	0
654	2.47592	0
655	2.47551	0
656	2.47511	0
657	2.4747	0
658	2.4743	0
659	2.4739	0
660	2.4735	0
661	2.47311	0
662	2.47271	0
663	2.47232	0
664	2.47193	0
665	2.47154	0
666	2.47116	0
667	2.47078	0
668	2.4704	0
669	2.47002	0
670	2.46964	0
671	2.46926	0
672	2.46889	0
673	2.46852	0
674	2.46815	0
675	2.46779	0
676	2.46742	0
677	2.46706	0
678	2.4667	0
679	2.46634	0
680	2.46598	0
681	2.46563	0
682	2.46527	0
683	2.46492	0
684	2.46457	0
685	2.46423	0
686	2.46388	0
687	2.46354	0
688	2.4632	0
689	2.46285	0
690	2.46252	0
691	2.46218	0
692	2.46184	0
693	2.46151	0
694	2.46118	0
695	2.46085	0
696	2.46052	0
697	2.4602	0
698	2.45987	0
699	2.45955	0
700	2.45923	0
701	2.45891	0
702	2.45859	0
703	2.45827	0
704	2.45796	0
705	2.45764	0
706	2.45733	0
707	2.45702	0
708	2.45671	0
709	2.45641	0
710	2.4561	0
711	2.4558	0
712	2.45549	0
713	2.45519	0
714	2.45489	0
715	2.4546	0
716	2.4543	0
717	2.454	0
718	2.45371	0
719	2.45342	0
720	2.45313	0
721	2.45284	0
722	2.45255	0
723	2.45226	0
724	2.45198	0
725	2.4517	0
726	2.45141	0
727	2.45113	0
728	2.45085	0
729	2.45058	0
730	2.4503	0
731	2.45002	0
732	2.44975	0
733	2.44948	0
734	2.4492	0
735	2.44893	0
736	2.44867	0
737	2.4484	0
738	2.44813	0
739	2.44787	0
740	2.4476	0
741	2.44734	0
742	2.44708	0
743	2.44682	0
744	2.44656	0
745	2.4463	0
746	2.44604	0
747	2.44579	0
748	2.44554	0
749	2.44528	0
750	2.44503	0
751	2.44478	0
752	2.44453	0
753	2.44428	0
754	2.44404	0
755	2.44379	0
756	2.44354	0
757	2.4433	0
758	2.44306	0
759	2.44282	0
760	2.44258	0
761	2.44234	0
762	2.4421	0
763	2.44186	0
764	2.44163	0
765	2.44139	0
766	2.44116	0
767	2.44092	0
768	2.44069	0
769	2.44046	0
770	2.44023	0
771	2.44	0
772	2.43978	0
773	2.43955	0
774	2.43932	0
775	2.4391	0
776	2.43887	0
777	2.43865	0
778	2.43843	0
779	2.43821	0
780	2.43799	0
781	2.43777	0
782	2.43755	0
783	2.43734	0
784	2.43712	0
785	2.43691	0
786	2.43669	0
787	2.43648	0
788	2.43627	0
789	2.43606	0
790	2.43584	0
791	2.43564	0
792	2.43543	0
793	2.43522	0
794	2.43501	0
795	2.43481	0
796	2.4346	0
797	2.4344	0
798	2.43419	0
799	2.43399	0
800	2.43379	0
801	2.43359	0
802	2.43339	0
803	2.43319	0
804	2.43299	0
805	2.4328	0
806	2.4326	0
807	2.4324	0
808	2.43221	0
809	2.43202	0
810	2.43182	0
811	2.43163	0
812	2.43144	0
813	2.43125	0
814	2.43106	0
815	2.43087	0
816	2.43068	0
817	2.43049	0
818	2.43031	0
819	2.43012	0
820	2.42994	0
821	2.42975	0
822	2.42957	0
823	2.42939	0
824	2.4292	0
825	2.42902	0
826	2.42884	0
827	2.42866	0
828	2.42848	0
829	2.4283	0
830	2.42813	0
831	2.42795	0
832	2.42777	0
833	2.4276	0
834	2.42742	0
835	2.42725	0
836	2.42708	0
837	2.4269	0
838	2.42673	0
839	2.42656	0
840	2.42639	0
841	2.42622	0
842	2.42605	0
843	2.42588	0
844	2.42571	0
845	2.42555	0
846	2.42538	0
847	2.42521	0
848	2.42505	0
849	2.42488	0
850	2.42472	0
851	2.42456	0
852	2.42439	0
853	2.42423	0
854	2.42407	0
855	2.42391	0
856	2.42375	0
857	2.42359	0
858	2.42343	0
859	2.42327	0
860	2.42311	0
861	2.42296	0
862	2.4228	0
863	2.42265	0
864	2.42249	0
865	2.42234	0
866	2.42218	0
867	2.42203	0
868	2.42188	0
869	2.42172	0
870	2.42157	0
871	2.42142	0
872	2.42127	0
873	2.42112	0
874	2.42097	0
875	2.42082	0
876	2.42067	0
877	2.42053	0
878	2.42038	0
879	2.42023	0
880	2.42009	0
881	2.41994	0
882	2.4198	0
883	2.41965	0
884	2.41951	0
885	2.41936	0
886	2.41922	0
887	2.41908	0
888	2.41894	0
889	2.4188	0
890	2.41866	0
891	2.41852	0
892	2.41838	0
893	2.41824	0
894	2.4181	0
895	2.41796	0
896	2.41782	0
897	2.41769	0
898	2.41755	0
899	2.41741	0
900	2.41728	0
901	2.41714	0
902	2.41701	0
903	2.41688	0
904	2.41674	0
905	2.41661	0
906	2.41648	0
907	2.41634	0
908	2.41621	0
909	2.41608	0
